danceability,energy,key,loudness,mode,speechiness,acousticness,instrumentalness,liveness,valence,tempo,duration_ms,time_signature,genre,title
0.806,0.95,7,-6.782,1,0.0811,0.000957,0.92,0.113,0.58,127.997,197499,4,techhouse,Dirtybird Players
0.803,0.697,6,-9.479,1,0.0599,0.00013,0.888,0.356,0.35,126.008,507998,4,techhouse,Tech House Movement
0.729,0.978,10,-6.645,1,0.042,0.0623,0.908,0.0353,0.778,124.994,206000,4,techhouse,tech house
0.724,0.792,4,-8.555,0,0.0405,0.0191,0.812,0.108,0.346,124.006,199839,4,techhouse,Tech House Bangerz
0.7,0.898,8,-6.099,1,0.257,0.053,0.418,0.574,0.791,125.031,173861,4,techhouse,tech house
0.803,0.919,8,-8.667,0,0.0702,0.000301,0.926,0.102,0.754,127.029,394960,4,techhouse,blanc | Tech House
0.805,0.993,9,-6.796,1,0.0471,0.00385,0.765,0.0256,0.875,125.998,229250,4,techhouse,Toolroom Tech House
0.803,0.858,10,-4.019,1,0.0538,0.0111,0.096,0.0766,0.862,121.989,158115,4,techhouse,Tech house
0.806,0.714,1,-7.007,0,0.0824,0.00354,0.86,0.095,0.542,123.988,341612,4,techhouse,Dirtybird//Techhouse by Mack\
0.803,0.925,11,-6.433,1,0.0627,0.000519,0.254,0.0462,0.774,124.006,338200,4,techhouse,Dirtybird//Techhouse by Mack\
0.782,0.98,1,-4.446,1,0.0629,0.000792,0.21,0.155,0.603,125.014,187431,4,techhouse,BOILER ROOM TECHNO HOUSE
0.795,0.842,6,-9.348,0,0.0599,0.000538,0.86,0.121,0.37,123.013,218537,4,techhouse,Tech House Bangerz
0.783,0.679,1,-6.333,0,0.0448,0.000802,0.798,0.0858,0.545,125.987,329842,4,techhouse,Dirtybird//Techhouse by Mack\
0.718,0.925,7,-5.968,1,0.103,0.0236,0.852,0.0564,0.718,123.008,245884,4,techhouse,tech house
0.83,0.981,11,-4.952,0,0.121,0.188,0.835,0.0748,0.607,128.026,237656,4,techhouse,Tech House Music 2020
0.796,0.91,5,-7.773,0,0.0521,0.00629,0.14,0.0205,0.488,124.003,377998,4,techhouse,Dirtybird//Techhouse by Mack\
0.798,0.901,10,-10.172,0,0.0507,0.000515,0.085,0.286,0.802,127.999,403713,4,techhouse,Dirtybird//Techhouse by Mack\
0.8,0.775,0,-9.273,1,0.0634,0.000192,0.41,0.192,0.715,121.997,188852,4,techhouse,Tech House 2020 - Best of Techno
0.721,0.743,6,-9.638,1,0.0534,0.00277,0.753,0.0916,0.597,128.005,270000,4,techhouse,Tech House Rotation 2020
0.824,0.888,0,-6.77,1,0.053,0.0141,0.614,0.0677,0.306,123.005,400000,4,techhouse,Tech House Movement
0.873,0.526,8,-6.656,0,0.0649,0.0177,0.527,0.0975,0.551,124.992,416740,4,techhouse,Dirtybird//Techhouse by Mack\
0.748,0.813,10,-5.543,1,0.0582,0.14,0.192,0.0805,0.119,123.985,382956,4,techhouse,Dirtybird House
0.86,0.763,1,-7.959,1,0.0649,0.00771,0.155,0.0379,0.836,126.982,334458,4,techhouse,blanc | Tech House
0.81,0.916,6,-5.943,0,0.047,0.000266,0.918,0.0413,0.372,122.984,226341,4,techhouse,Tech House Movement
0.807,0.916,11,-7.393,0,0.0467,0.00163,0.794,0.0264,0.844,123.026,331707,4,techhouse,Dirtybird Players
0.785,0.96,6,-6.132,1,0.0429,0.00197,0.873,0.346,0.863,125.027,159840,4,techhouse,tech house
0.815,0.935,2,-6.644,1,0.061,0.000162,0.892,0.0677,0.643,125.002,400000,4,techhouse,Tech House Essentials by Distortion
0.929,0.395,6,-8.184,0,0.228,0.0145,0.546,0.0749,0.554,125.006,338043,4,techhouse,Dirtybird//Techhouse by Mack\
0.825,0.595,0,-9.393,1,0.0669,0.00107,0.94,0.0578,0.0781,124.003,389039,4,techhouse,Tech House
0.746,0.84,1,-8.979,0,0.146,0.00417,0.765,0.066,0.202,128.001,228750,4,techhouse,Dirtybird House
0.803,0.71,6,-10.922,1,0.0992,0.000193,0.74,0.0994,0.542,128.986,211712,4,techhouse,Tech house
0.798,0.924,7,-6.504,1,0.0568,0.00226,0.189,0.0633,0.536,125.01,201738,4,techhouse,Tech house
0.926,0.951,6,-5.531,0,0.0924,0.00232,0.452,0.313,0.918,123.987,206588,4,techhouse,Tech House 2020
